n_models,subset,test_mse,test_r2,test_cor
1,CanESM5,0.3372847403585911,0.4814072251319885,0.9094153176491873
1,CanESM5-CanOE,0.3746711606532335,0.42392367124557495,0.8989526637502153
1,FGOALS-g3,1.2108998981118202,-0.861821174621582,0.7589409770088578
1,NorESM2-MM,0.16968937568366527,0.7390937805175781,0.9109744738604654
1,MIROC6,0.2168980734050274,0.6665079593658447,0.853183853625111
1,CAS-ESM2-0,0.17842284254729748,0.7256656289100647,0.8790241199419664
1,NorESM2-LM,0.12711568240076304,0.8045530319213867,0.9309566019515862
1,UKESM1-1-LL,0.31586658835411074,0.5143387317657471,0.7968622225693738
4,"NorESM2-MM,GFDL-ESM4,IPSL-CM6A-LR,CMCC-ESM2",0.09348941154778004,0.8562551736831665,0.9392117824860726
4,"FGOALS-g3,CanESM5,CMCC-ESM2,GISS-E2-1-G",0.3379173372685909,0.4804345965385437,0.8693651954531892
4,"MPI-ESM1-2-HR,HadGEM3-GC31-MM,UKESM1-1-LL,GISS-E2-1-G",0.2515059319883585,0.613296627998352,0.8759126602495557
4,"ACCESS-CM2,HadGEM3-GC31-MM,ACCESS-ESM1-5,MIROC6",0.3998460980504751,0.3852158784866333,0.8476240278541136
4,"GFDL-CM4,GFDL-ESM4,CAS-ESM2-0,MRI-ESM2-0",0.1659350123628974,0.7448663115501404,0.8938414748718772
4,"CMCC-ESM2,GFDL-CM4,GISS-E2-1-G,HadGEM3-GC31-MM",0.30398364014923573,0.5326094031333923,0.8386386665297217
4,"MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,CAS-ESM2-0",0.10137346621602773,0.8441330194473267,0.9299973016704849
4,"MIROC6,UKESM1-1-LL,MPI-ESM1-2-HR,MRI-ESM2-0",0.12249762371182442,0.8116535544395447,0.9114809360723962
8,"CanESM5,MRI-ESM2-0,CMCC-ESM2,NorESM2-MM,CanESM5-CanOE,GFDL-CM4,CAS-ESM2-0,HadGEM3-GC31-MM",0.09851634290069342,0.8485260009765625,0.9255671055018874
8,"ACCESS-CM2,ACCESS-ESM1-5,HadGEM3-GC31-MM,CMCC-ESM2,MIROC6,CanESM5,NorESM2-LM,CAS-ESM2-0",0.112655100338161,0.8267869353294373,0.9302077139204699
8,"MPI-ESM1-2-HR,NorESM2-MM,GFDL-ESM4,GISS-E2-1-G,CanESM5,FGOALS-g3,CAS-ESM2-0,GFDL-CM4",0.10413614135235548,0.8398852944374084,0.9188212478352906
8,"CanESM5,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,GFDL-ESM4,GFDL-CM4,UKESM1-1-LL,CanESM5-CanOE",0.07747328896075487,0.8808808326721191,0.9389941777659311
8,"CanESM5-CanOE,HadGEM3-GC31-LL,MIROC6,MRI-ESM2-0,ACCESS-CM2,IPSL-CM6A-LR,MPI-ESM1-2-HR,GISS-E2-1-G",0.2194361299648881,0.6626055836677551,0.9142223349791799
15,"MPI-ESM1-2-HR,IPSL-CM6A-LR,ACCESS-ESM1-5,CAS-ESM2-0,CMCC-ESM2,GISS-E2-1-G,GFDL-ESM4,HadGEM3-GC31-MM,NorESM2-LM,NorESM2-MM,HadGEM3-GC31-LL,ACCESS-CM2,CanESM5,UKESM1-1-LL,FGOALS-g3",0.11663245763629675,0.820671558380127,0.9398835458547415
15,"GISS-E2-1-G,MIROC6,ACCESS-CM2,CMCC-ESM2,NorESM2-LM,MPI-ESM1-2-HR,ACCESS-ESM1-5,CAS-ESM2-0,CanESM5-CanOE,GFDL-CM4,MRI-ESM2-0,NorESM2-MM,IPSL-CM6A-LR,FGOALS-g3,GFDL-ESM4",0.09699167855083943,0.8508702516555786,0.9311471547094293
15,"GFDL-ESM4,CanESM5-CanOE,MPI-ESM1-2-HR,FGOALS-g3,ACCESS-ESM1-5,GISS-E2-1-G,CanESM5,IPSL-CM6A-LR,GFDL-CM4,UKESM1-1-LL,MIROC6,CAS-ESM2-0,NorESM2-LM,HadGEM3-GC31-LL,CMCC-ESM2",0.20457985512912275,0.6854479312896729,0.9143922641203577
15,"GISS-E2-1-G,GFDL-CM4,FGOALS-g3,ACCESS-ESM1-5,NorESM2-MM,UKESM1-1-LL,HadGEM3-GC31-MM,CanESM5-CanOE,CMCC-ESM2,MRI-ESM2-0,IPSL-CM6A-LR,MIROC6,CAS-ESM2-0,HadGEM3-GC31-LL,GFDL-ESM4",0.07829307628795505,0.8796203136444092,0.9386909989110321
15,"ACCESS-ESM1-5,CMCC-ESM2,NorESM2-MM,CanESM5,GFDL-CM4,MRI-ESM2-0,HadGEM3-GC31-LL,MIROC6,MPI-ESM1-2-HR,HadGEM3-GC31-MM,ACCESS-CM2,GFDL-ESM4,CAS-ESM2-0,CanESM5-CanOE,FGOALS-g3",0.11888198636472225,0.8172128200531006,0.9201898296371622
18,"GFDL-ESM4,ACCESS-CM2,CMCC-ESM2,NorESM2-MM,HadGEM3-GC31-MM,IPSL-CM6A-LR,CAS-ESM2-0,NorESM2-LM,MPI-ESM1-2-HR,GFDL-CM4,CanESM5-CanOE,MIROC6,GISS-E2-1-G,FGOALS-g3,HadGEM3-GC31-LL,UKESM1-1-LL,CanESM5,ACCESS-ESM1-5",0.12792485125362874,0.80330890417099,0.9312851081523527
